text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Esha has my heart #DWTS,FALSE,1,NA,2019-10-22T00:56:44Z,FALSE,NA,1186446254705905664,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",annaoverload1,1,FALSE,FALSE,NA,NA
"RT @AllyBrooke: VOTING IS NOW OPEN!!!🚨 HERE WE GOOOOOO!!!

Text ALLY to 21523 to vote or vote online at https://t.co/1Z7HaCbAAn. #DWTS #Tea…",FALSE,0,NA,2019-10-22T00:56:44Z,FALSE,NA,1186446253699321858,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thequeenpk,381,TRUE,FALSE,NA,NA
RT @Chrisrobin315: Another Monday night means my fellow @realDonaldTrump supporters need to help @seanspicer advance to the next round in #…,FALSE,0,NA,2019-10-22T00:56:44Z,FALSE,NA,1186446252759633920,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",LindaofNM1,4,TRUE,FALSE,NA,NA
"Contemporary, which is my bailiwick is gonna be PERFECT for Karamo.
GET Kleenex ready.

#DWTS",FALSE,0,NA,2019-10-22T00:56:39Z,FALSE,NA,1186446232446799872,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JamesSemaj1220,0,FALSE,FALSE,NA,NA
Our house is divided. My husband keeps voting for Aly and I keep voting for Hannah #DWTS https://t.co/jFVjfxn9zt,FALSE,1,NA,2019-10-22T00:56:38Z,FALSE,NA,1186446229435121665,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",itsmybeezkneez,0,FALSE,FALSE,NA,NA
RT @bobbybonesshow: Tonight on #DWTS @mrBobbyBones predicts @Lauren_Alaina will cry. 😢 Watch and vote for her tonight! https://t.co/hdhBunt…,FALSE,0,NA,2019-10-22T00:56:38Z,FALSE,NA,1186446228684328960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kaylee_gold,21,TRUE,FALSE,NA,NA
Who’s trying to go with me? #dwts https://t.co/Futcg7kqkc,FALSE,5,NA,2019-10-22T00:56:38Z,FALSE,NA,1186446227233263616,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",reneepriola,0,FALSE,FALSE,NA,NA
"Karamo bringing tears to my eyes too ❤️😭 
#DWTS",FALSE,0,NA,2019-10-22T00:56:38Z,FALSE,NA,1186446225928790016,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rachellynn5959,0,FALSE,FALSE,NA,NA
"RT @AllyOnDWTS: WEEK 6 • Ally and Sasha's scores tonight.

#AllyOnDWTS #TeamTime2Shine #DWTS https://t.co/3aFagPVdms",FALSE,0,NA,2019-10-22T00:56:36Z,FALSE,NA,1186446217909297155,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EmiPolinesio,24,TRUE,FALSE,NA,NA
I voted for @hannahbrown &amp; @Dance10Alan on #DWTS https://t.co/MIq9BQ9b12,FALSE,0,NA,2019-10-22T00:56:35Z,FALSE,NA,1186446216835588096,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NikkiKay1972,0,FALSE,FALSE,NA,NA
Emma and Sasha are such a cute couple. #DWTS,FALSE,3,NA,2019-10-22T00:56:35Z,FALSE,NA,1186446214641967104,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alohaitsanna,2,FALSE,FALSE,NA,NA
Am I doing this right? #DWTS https://t.co/UnTyY4wuVJ,FALSE,3,NA,2019-10-22T00:56:34Z,FALSE,NA,1186446212108554240,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",misa3913,0,FALSE,FALSE,NA,NA
"RT @5HMoments_Br: ALLY ARRASOU MAIS UMA VEZ! TEVE AS NOTAS: 8,9,8 SOMANDO 25 PONTOS! ELA MERECE! EU ESTOU TÃO ORGULHOSA! #DWTS #TeamTime2Sh…",FALSE,0,NA,2019-10-22T00:56:34Z,FALSE,NA,1186446212033122304,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",thaisk96,70,TRUE,FALSE,NA,NA
RT @AllyBrooke: SASHA!!! THAT WAS INCREDIBLE AND SO MUCH FUN!!! ✨ Help get us to next week by voting ALLY to 21523!! You can vote up 10 TIM…,FALSE,0,NA,2019-10-22T00:56:34Z,FALSE,NA,1186446209717809153,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kccruela,170,TRUE,FALSE,NA,NA
"RT @5HMoments_Br: ALLY ARRASOU MAIS UMA VEZ! TEVE AS NOTAS: 8,9,8 SOMANDO 25 PONTOS! ELA MERECE! EU ESTOU TÃO ORGULHOSA! #DWTS #TeamTime2Sh…",FALSE,0,NA,2019-10-22T00:56:31Z,FALSE,NA,1186446197973831680,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",eestefanemendes,70,TRUE,FALSE,NA,NA
Wow. This #DWTS Live Tour will have fans dancing on the streets.,FALSE,0,NA,2019-10-22T00:56:31Z,FALSE,NA,1186446197134893058,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DLartey94,0,FALSE,FALSE,NA,NA
